Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
KENNESAW MT NBP,GA,SE,"2,887.92",0.00,0.00,"2,887.92",6.37,0.00,6.37,"2,894.29",,,
KEWEENAW NHP,MI,MW,135.78,0.00,0.00,135.78,0.00,"1,733.62","1,733.62","1,869.40",,,
KINGS CANYON NP,CA,PW,"461,846.05",0.00,0.00,"461,846.05",0.00,55.15,55.15,"461,901.20",,,
KINGS MT NMP,SC,SE,"3,945.29",0.00,0.00,"3,945.29",0.00,0.00,0.00,"3,945.29",,,
KLONDIKE GOLD RUSH NHP,AK-WA,A,"3,420.00",0.00,0.00,"3,420.00","9,199.38",377.11,"9,576.49","12,996.49",,,
KNIFE RIVER INDIAN VIL NH,ND,MW,"1,457.24",136.41,0.00,"1,593.65",0.00,155.15,155.15,"1,748.80",,,
KOBUK VALLEY NP,AK,A,"1,714,253.45",5.00,0.00,"1,714,258.45",966.00,"35,491.71","36,457.71","1,750,716.16",,,
KOREAN WAR VETERANS MEM,DC,NC,1.56,0.00,0.00,1.56,0.00,0.00,0.00,1.56,,,
LAKE CHELAN NRA,WA,PW,"59,337.22",11.83,0.00,"59,349.05","2,210.44",386.78,"2,597.22","61,946.27",,,
LAKE CLARK N PRESERVE,AK,A,"1,249,957.36","9,251.98",0.00,"1,259,209.34","58,224.63","92,859.71","151,084.34","1,410,293.68",,,
LAKE CLARK NP,AK,A,"2,481,439.42",0.00,0.00,"2,481,439.42","37,426.00","100,951.07","138,377.07","2,619,816.49",,,
LAKE MEAD NRA,AZ-NV,PW,"1,392,721.19",41.31,"78,230.76","1,470,993.26","2,444.75","22,367.52","24,812.27","1,495,805.53",,,
LAKE MEREDITH NRA,TX,IM,"43,964.63",0.00,"1,013.00","44,977.63",0.00,0.00,0.00,"44,977.63",,,
LAKE ROOSEVELT NRA,WA 1/,PW,331.31,0.00,"100,059.00","100,390.31",0.00,0.00,0.00,"100,390.31",,,
LASSEN VOLCANIC NP,CA,PW,"106,448.11",0.00,0.00,"106,448.11",0.00,140.91,140.91,"106,589.02",,,
LAVA BEDS NM,CA,PW,"46,692.42",0.00,0.00,"46,692.42",0.00,0.00,0.00,"46,692.42",,,
LBJ MEM GROVE ON THE POTOMAC,DC,NC,17.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00,,,
LEWIS AND CLARK NHP,OR-WA,PW,"2,729.32",0.00,0.00,"2,729.32",273.40,407.43,680.83,"3,410.15",,,
LINCOLN BOYHOOD NMEM,IN,MW,185.68,0.00,0.00,185.68,6.38,7.90,14.28,199.96,,,
LINCOLN HOME NHS,IL,MW,12.03,0.00,0.00,12.03,0.00,0.21,0.21,12.24,,,
LINCOLN MEMORIAL,DC,NC,7.29,0.00,0.00,7.29,0.00,0.00,0.00,7.29,,,
LITTLE BIGHORN BATTLEFLD,MT,IM,765.34,0.00,0.00,765.34,0.00,0.00,0.00,765.34,,,
LITTLE RIVER CANYON,AL,SE,"11,130.11",0.00,13.33,"11,143.44","3,287.87",857.22,"4,145.09","15,288.53",,,
LITTLE ROCK CENTRAL HS NH,AR,MW,2.22,0.00,0.00,2.22,24.91,0.15,25.06,27.28,,,
LONGFELLOW HOUSE-WASH HQ NHS,MA,NE,1.98,0.00,0.00,1.98,0.00,0.00,0.00,1.98,,,
LOWELL NHP,MA,NE,10.62,21.04,0.00,31.66,4.46,105.17,109.63,141.29,,,
LOWER ST CROIX NSR,MN-WI,MW,"4,916.40","3,488.93",0.00,"8,405.33","4,496.83","12,374.29","16,871.12","25,276.45",,,
LYNDON B JOHNSON NHP,TX,IM,672.27,2.05,0.00,674.32,0.06,895.77,895.83,"1,570.15",,,
M MCLEOD BETHUNE HOUSE NHS,DC,NC,0.07,0.00,0.00,0.07,0.00,0.00,0.00,0.07,,,
MAGGIE L WALKER NHS,VA,NE,0.36,0.00,0.00,0.36,0.00,0.93,0.93,1.29,,,
MAMMOTH CAVE NP,KY,SE,"52,003.24",0.00,0.00,"52,003.24",814.75,12.20,826.95,"52,830.19",,,
MANASSAS NBP,VA,NC,"4,400.73",21.52,0.00,"4,422.25",0.00,650.38,650.38,"5,072.63",,,
MANHATTAN PROJECT NHP,NM-TN-WA,IM,0.00,0.00,113.61,113.61,0.00,0.00,0.00,113.61,,,
MANZANAR NHS,CA,PW,813.81,0.00,0.00,813.81,0.00,0.00,0.00,813.81,,,
MARSH-BILLINGS-ROCKEFELLER N,VT,NE,555.07,0.00,0.00,555.07,0.00,88.00,88.00,643.07,,,
"MARTIN L KING, JR, MEMORIAL",DC,NC,2.74,0.00,0.00,2.74,0.00,0.00,0.00,2.74,,,
"MARTIN L KING, JR, NHS",GA,SE,13.62,0.00,0.00,13.62,10.22,14.86,25.08,38.70,,,
MARTIN VAN BUREN NHS,NY,NE,44.53,7.64,0.00,52.17,0.24,232.52,232.76,284.93,,,
MESA VERDE NP,CO,IM,"52,253.29",0.00,0.00,"52,253.29",41.01,190.87,231.88,"52,485.17",,,
MINIDOKA NHS,ID,PW,299.79,88.51,0.00,388.30,8.00,0.00,8.00,396.30,,,
MINUTE MAN NHP,MA,NE,787.69,7.47,6.78,801.94,125.53,100.29,225.82,"1,027.76",,,
MINUTEMAN MISSILE NHS,SD,MW,39.22,0.93,0.00,40.15,0.00,3.65,3.65,43.80,,,
MISSISSIPPI N RVR & RA,MN,MW,62.42,0.00,0.00,62.42,0.00,"53,712.58","53,712.58","53,775.00",,,
MISSOURI N REC RIVER,SD-NE,MW,307.68,1.10,0.00,308.78,0.00,"48,147.77","48,147.77","48,456.55",,,
MOJAVE NATIONAL PRESERVE,CA,PW,"1,478,985.25",0.00,0.00,"1,478,985.25","43,555.02","20,235.53","63,790.55","1,542,775.80",,,
MONOCACY NB,MD,NC,"1,354.87",195.37,0.00,"1,550.24",51.82,44.95,96.77,"1,647.01",,,
MONTEZUMA CASTLE NM,AZ,IM,998.69,0.00,0.00,998.69,0.00,16.83,16.83,"1,015.52",,,
MOORES CREEK NB,NC,SE,85.35,2.40,0.00,87.75,0.00,0.00,0.00,87.75,,,
MORRISTOWN NHP,NJ,NE,"1,704.74",0.95,0.00,"1,705.69",0.00,5.03,5.03,"1,710.72",,,
MT RAINIER NP,WA,PW,"236,326.85",0.00,0.00,"236,326.85",20.70,34.09,54.79,"236,381.64",,,
MT RUSHMORE NMEM,SD,MW,"1,238.45",1.07,0.00,"1,239.52",38.93,0.00,38.93,"1,278.45",,,
MUIR WOODS NM,CA,PW,522.98,0.00,0.00,522.98,30.57,0.00,30.57,553.55,,,
NATCHEZ NHP,MS,SE,85.98,0.00,0.00,85.98,5.02,17.30,22.32,108.30,,,
NATCHEZ TRACE NS TRAIL,TN-MS-AL,SE,0.00,0.00,0.00,0.00,0.00,"10,995.00","10,995.00","10,995.00",,,
NATCHEZ TRACE PKWY,TN-MS-AL,SE,"46,320.02","5,887.28",0.00,"52,207.30",34.54,60.16,94.70,"52,302.00",,,
NATIONAL CAPITAL PARKS,DC-MD,NC,"8,430.87",31.60,0.00,"8,462.47",192.67,38.23,230.90,"8,693.37",,,
NATIONAL MALL,DC,NC,150.44,5.40,0.00,155.84,0.00,0.00,0.00,155.84,,,
NATIONAL WWII MEMORIAL,DC,NC,8.25,0.00,0.00,8.25,0.00,0.00,0.00,8.25,,,
NATURAL BRIDGES NM,UT,IM,"7,620.49",16.00,0.00,"7,636.49",0.00,0.00,0.00,"7,636.49",,,
NAVAJO NM,AZ,IM,360.00,0.00,0.00,360.00,0.00,0.00,0.00,360.00,,,
NEW BEDFORD WHALING,MA,NE,0.34,0.00,0.00,0.34,0.00,33.66,33.66,34.00,,,
NEW ORLEANS JAZZ NHP,LA,SE,0.00,0.00,0.00,0.00,5.13,0.00,5.13,5.13,,,
NEW RIVER GORGE N RVR,WV,NE,"53,689.64",163.92,0.00,"53,853.56","4,607.99","13,724.21","18,332.20","72,185.76",,,
NEZ PERCE NHP,MT-ID-OR-WA,PW,"1,968.18","1,885.33",5.12,"3,858.63",261.20,445.10,706.30,"4,564.93",,,
NICODEMUS NHS,KS,MW,0.22,1.42,0.00,1.64,12.93,2.95,15.88,17.52,,,
NINETY SIX NHS,SC,SE,"1,021.94",0.00,0.00,"1,021.94",0.00,0.00,0.00,"1,021.94",,,
NIOBRARA N. SCENIC RIVER,NE,MW,185.88,0.00,844.52,"1,030.40",398.68,"27,671.94","28,070.62","29,101.02",,,
NOATAK N PRESERVE,AK,A,"6,549,220.04",0.00,0.00,"6,549,220.04","1,197.00","36,654.35","37,851.35","6,587,071.39",,,
NORTH CASCADES NP,WA,PW,"504,654.18",0.00,0.00,"504,654.18",0.00,126.76,126.76,"504,780.94",,,
NP OF AMERICAN SAMOA,SAMOA,PW,0.00,0.00,0.00,0.00,"8,256.67",0.00,"8,256.67","8,256.67",,,
OBED WILD & SCENIC RVR,TN,SE,"2,632.71","1,081.12",0.00,"3,713.83",350.44,"1,368.42","1,718.86","5,432.69",,,
OCMULGEE NM,GA,SE,701.54,0.00,0.00,701.54,2.16,0.00,2.16,703.70,,,
OLYMPIC NP,WA,PW,"913,387.17",64.88,100.00,"913,552.05","8,749.47",348.58,"9,098.05","922,650.10",,,
OREGON CAVES NM & PRES,OR,PW,"4,554.03",0.00,0.00,"4,554.03",0.00,0.00,0.00,"4,554.03",,,
ORGAN PIPE CACTUS NM,AZ,IM,"329,114.50",24.42,226.37,"329,365.29","1,280.00",43.57,"1,323.57","330,688.86",,,
OZARK NS RIVERWAYS,MO,MW,"52,206.33","9,162.09",0.00,"61,368.42","14,062.59","5,354.03","19,416.62","80,785.04",,,
PADRE ISLAND NS,TX,IM,"130,355.46",0.00,0.00,"130,355.46",78.81,0.00,78.81,"130,434.27",,,
PALO ALTO BTLFLD NHP,TX,IM,"1,798.93",0.00,0.00,"1,798.93",0.00,"1,642.81","1,642.81","3,441.74",,,
PATERSON GREAT FALLS NHP,NJ,NE,0.39,0.00,0.00,0.39,50.47,0.46,50.93,51.32,,,
PEA RIDGE NMP,AR,MW,"4,278.75",0.00,0.00,"4,278.75",17.83,3.77,21.60,"4,300.35",,,
PECOS NHP,NM,IM,"6,405.68",0.00,0.00,"6,405.68",51.51,236.99,288.50,"6,694.18",,,
PENNSYLVANIA AVE NHS,DC,NC,15.59,0.00,0.84,16.43,1.18,0.00,1.18,17.61,,,
PERRY'S VIC & INT PEACE M,OH,MW,23.12,0.02,0.00,23.14,2.24,0.00,2.24,25.38,,,
PETERSBURG NB,VA,NE,"2,656.14",0.12,1.17,"2,657.43",0.00,82.29,82.29,"2,739.72",,,
PETRIFIED FOREST NP,AZ,IM,"146,930.01",0.00,0.00,"146,930.01","35,900.69","38,585.07","74,485.76","221,415.77",,,
PETROGLYPH NM,NM,IM,"2,936.37",0.00,0.00,"2,936.37","4,160.95",111.98,"4,272.93","7,209.30",,,
PICTURED ROCKS NL,MI,MW,"35,705.86",21.30,44.16,"35,771.32","13,939.75","23,524.76","37,464.51","73,235.83",,,
PINNACLES NP,CA,PW,"26,674.60",0.31,0.00,"26,674.91",0.00,10.82,10.82,"26,685.73",,,
PIPE SPRING NM,AZ,IM,40.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00,,,
PIPESTONE NM,MN,MW,281.78,0.00,0.00,281.78,0.00,0.00,0.00,281.78,,,
PISCATAWAY PARK,MD,NC,"1,918.85","2,671.72",0.00,"4,590.57",0.00,35.80,35.80,"4,626.37",,,
POINT REYES NS,CA,PW,"64,856.50",42.98,334.87,"65,234.35","2,696.98","3,124.08","5,821.06","71,055.41",,,
PORT CHICAGO NAVAL MAG N MEM,CA,PW,0.00,0.00,5.00,5.00,0.00,0.00,0.00,5.00,,,
POTOMAC HERITAGE NST,PA TO VA,NC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
POVERTY POINT NM,LA,SE,0.00,0.00,0.00,0.00,415.14,495.71,910.85,910.85,,,
PRESIDENT WJ CLINTON BP NHS,AR,MW,0.68,0.00,0.00,0.68,0.00,0.00,0.00,0.68,,,
PRINCE WM FOREST PARK,VA,NC,"14,562.03",41.89,0.00,"14,603.92",0.00,"1,476.90","1,476.90","16,080.82",,,
PULLMAN NM,IL,MW,0.24,0.16,0.00,0.40,0.00,0.00,0.00,0.40,,,
PU'UHONUA O HONAUNAU,HI,PW,418.78,1.02,0.00,419.80,0.00,0.00,0.00,419.80,,,
PUUKOHOLA HEIAU NHS,HI,PW,60.95,0.00,0.00,60.95,25.29,0.00,25.29,86.24,,,
R REAGAN BOYHOOD HOME NHS,IL,MW,0.00,0.00,0.00,0.00,0.00,1.01,1.01,1.01,,,
RAINBOW BRIDGE NM,UT,IM,160.00,0.00,0.00,160.00,0.00,0.00,0.00,160.00,,,
REDWOOD NP,CA,PW,"77,715.18",29.36,1.92,"77,746.46","61,101.92",150.99,"61,252.91","138,999.37",,,
RICHMOND NBP,VA,NE,"3,588.54",22.43,1.42,"3,612.39",2.70,"4,554.60","4,557.30","8,169.69",,,
RIO GRANDE WILD & SR,TX,IM,0.00,0.00,0.00,0.00,"2,150.00","7,450.00","9,600.00","9,600.00",,,
RIVER RAISIN NBP,MI,MW,42.18,0.00,0.00,42.18,0.00,0.00,0.00,42.18,,,
ROCK CREEK PARK,DC,NC,"1,755.21",0.00,0.00,"1,755.21",0.00,0.00,0.00,"1,755.21",,,
ROCKY MT NP,CO,IM,"264,209.16","1,220.70",0.00,"265,429.86",117.04,248.30,365.34,"265,795.20",,,
ROGER WILLIAMS NMEM,RI,NE,4.56,0.00,0.00,4.56,0.00,0.00,0.00,4.56,,,
ROSIE THE RIVETER  NHP,CA,PW,0.00,0.00,0.00,0.00,145.19,0.00,145.19,145.19,,,
ROSS LAKE NRA,WA,PW,"115,959.59",0.00,0.00,"115,959.59","1,609.37",5.63,"1,615.00","117,574.59",,,
RUSSELL CAVE NM,AL,SE,310.45,0.00,0.00,310.45,0.00,0.00,0.00,310.45,,,
SAGAMORE HILL NHS,NY,NE,83.02,0.00,0.00,83.02,0.00,0.00,0.00,83.02,,,
SAGUARO NP,AZ,IM,"87,826.51",13.64,0.00,"87,840.15","3,009.67",865.90,"3,875.57","91,715.72",,,
SAINT CROIX NSR,MN-WI,MW,"20,355.16","11,057.45",804.44,"32,217.05","30,716.34","4,533.24","35,249.58","67,466.63",,,
SAINT-GAUDENS NHS,NH,NE,190.75,0.00,0.00,190.75,0.00,0.00,0.00,190.75,,,
SALEM MARITIME NHS,MA,NE,8.93,0.00,0.00,8.93,0.00,0.09,0.09,9.02,,,
SALINAS PUEBLO MSNS NM,NM,IM,979.87,5.26,0.00,985.13,5.68,80.61,86.29,"1,071.42",,,
SALT RVR BAY NHP,VI,SE,224.67,0.00,0.00,224.67,659.49,105.26,764.75,989.42,,,
SAN ANTONIO MISSIONS NHP,TX,IM,463.30,69.68,0.00,532.98,267.43,147.32,414.75,947.73,,,
SAN FRAN MARITIME NHP,CA,PW,30.03,0.00,0.00,30.03,19.83,0.00,19.83,49.86,,,
SAN JUAN ISLAND NHP,WA,PW,"2,114.52",0.00,0.00,"2,114.52",26.54,4.50,31.04,"2,145.56",,,
SAN JUAN NHS,PR,SE,53.20,0.00,0.00,53.20,21.93,0.00,21.93,75.13,,,
SAND CREEK MASSACRE NHS,CO,IM,"3,025.43",0.00,0.00,"3,025.43",0.00,"9,557.91","9,557.91","12,583.34",,,
SANTA MONICA MTS NRA,CA,PW,"23,570.56",33.38,16.45,"23,620.39","50,548.82","82,501.97","133,050.79","156,671.18",,,
SARATOGA NHP,NY,NE,"2,911.13",2.04,0.00,"2,913.17",59.18,606.79,665.97,"3,579.14",,,
SAUGUS IRON WORKS NHS,MA,NE,8.51,0.00,0.00,8.51,0.00,0.00,0.00,8.51,,,
SCOTTS BLUFF NM,NE,MW,"2,953.94",0.27,0.00,"2,954.21",5.95,44.57,50.52,"3,004.73",,,
SEQUOIA NP,CA,PW,"403,893.31",15.36,0.00,"403,908.67",0.00,153.96,153.96,"404,062.63",,,
SHENANDOAH NP,VA,NE,"197,536.49",818.31,0.00,"198,354.80",72.11,768.36,840.47,"199,195.27",,,
SHILOH NMP,TN-MS,SE,"5,047.96",0.01,0.00,"5,047.97",958.76,"1,914.79","2,873.55","7,921.52",,,
SITKA NHP,AK,A,58.22,0.00,0.00,58.22,54.63,3.44,58.07,116.29,,,
SLEEPING BEAR DUNES NL,MI,MW,"57,011.72",663.61,1.85,"57,677.18","12,067.29","1,460.59","13,527.88","71,205.06",,,
SPRINGFIELD ARMORY NHS,MA,NE,20.32,0.28,0.00,20.60,34.33,0.00,34.33,54.93,,,
ST CROIX ISLAND IHS,ME,NE,6.50,0.00,0.00,6.50,0.00,0.00,0.00,6.50,,,
ST PAUL'S CHURCH NHS,NY,NE,6.13,0.00,0.00,6.13,0.00,0.00,0.00,6.13,,,
STATUE OF LIBERTY NM,NY-NJ,NE,58.38,0.00,0.00,58.38,0.00,0.00,0.00,58.38,,,
STEAMTOWN NHS,PA,NE,51.29,0.00,0.00,51.29,10.55,0.64,11.19,62.48,,,
STONES RIVER NB,TN,SE,649.15,0.00,0.00,649.15,13.07,47.24,60.31,709.46,,,
STONEWALL NM,NY,NE,0.12,0.00,0.00,0.12,7.53,0.05,7.58,7.70,,,
SUNSET CRATER VOLC NM,AZ,IM,"3,040.00",0.00,0.00,"3,040.00",0.00,0.00,0.00,"3,040.00",,,
T KOSCIUSZKO NMEM,PA,NE,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.02,,,
T ROOSEVELT BIRTHPLACE NHS,NY,NE,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.11,,,
T ROOSEVELT INAUG NHS,NY,NE,1.18,0.00,0.00,1.18,0.00,0.00,0.00,1.18,,,
T ROOSEVELT ISLAND,DC,NC,88.50,0.00,0.00,88.50,0.00,0.00,0.00,88.50,,,
T ROOSEVELT NP,ND,MW,"69,550.88",0.00,151.24,"69,702.12",54.33,690.44,744.77,"70,446.89",,,
TALLGRASS PRAIRIE NPRE,KS,MW,33.12,0.00,0.00,33.12,17.30,"10,832.25","10,849.55","10,882.67",,,
THOMAS EDISON NHP,NJ,NE,21.25,0.00,0.00,21.25,0.00,0.00,0.00,21.25,,,
THOMAS JEFFERSON MEM,DC,NC,18.36,0.00,0.00,18.36,0.00,0.00,0.00,18.36,,,
THOMAS STONE NHS,MD,NE,328.25,0.00,0.00,328.25,0.00,0.00,0.00,328.25,,,
TIMPANOGOS CAVE NM,UT,IM,250.00,0.00,0.00,250.00,0.00,0.00,0.00,250.00,,,
TIMUCUAN ECO & H PRES,FL,SE,"7,537.61","1,330.00",0.00,"8,867.61","16,006.56","21,388.50","37,395.06","46,262.67",,,
TONTO NM,AZ,IM,"1,120.00",0.00,0.00,"1,120.00",0.00,0.00,0.00,"1,120.00",,,
TULE SPRINGS FOSSIL BEDS NM,NV,PW,"22,650.00",0.00,0.00,"22,650.00",0.00,0.00,0.00,"22,650.00",,,
TUMACACORI NHP,AZ,IM,357.74,0.00,0.00,357.74,0.64,1.94,2.58,360.32,,,
TUPELO NB,MS,SE,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
TUSKEGEE AIRMEN NHS,AL,SE,44.71,0.00,0.00,44.71,0.40,44.57,44.97,89.68,,,
TUSKEGEE INSTITUTE NHS,AL,SE,7.90,1.02,0.00,8.92,0.00,49.00,49.00,57.92,,,
TUZIGOOT NM,AZ,IM,366.42,15.11,0.00,381.53,0.00,430.36,430.36,811.89,,,
ULYSSES S GRANT NHS,MO,MW,9.60,0.00,0.00,9.60,0.00,0.00,0.00,9.60,,,
UPPER DEL SCENIC & R RVR,NY-PA,NE,30.47,0.28,0.00,30.75,"1,327.96","73,640.85","74,968.81","74,999.56",,,
VALLES CALDERA N PRES,NM,IM,"89,766.09",0.00,0.00,"89,766.09",0.00,0.00,0.00,"89,766.09",,,
VALLEY FORGE NHP,PA,NE,"3,145.73",29.13,0.00,"3,174.86",218.03,74.81,292.84,"3,467.70",,,
VANDERBILT MANSION NHS,NY,NE,211.65,0.00,0.00,211.65,0.00,0.00,0.00,211.65,,,
VICKSBURG NMP,MS-LA,SE,"1,747.68",-0.95,0.00,"1,746.73",4.84,50.61,55.45,"1,802.18",,,
VIETNAM VETERANS MEM,DC,NC,2.18,0.00,0.00,2.18,0.00,0.00,0.00,2.18,,,
VIRGIN ISLANDS CORAL REEF,VI,SE,"11,608.48",0.00,0.00,"11,608.48","1,099.59",0.00,"1,099.59","12,708.07",,,
VIRGIN ISLANDS NP,VI,SE,"13,101.98",3.00,0.00,"13,104.98",133.48,"1,710.00","1,843.48","14,948.46",,,
VOYAGEURS NP,MN,MW,"133,108.69",0.00,139.03,"133,247.72","83,903.18","1,049.25","84,952.43","218,200.15",,,
WACO MAMMOTH NM,TX,IM,4.93,2.18,0.00,7.11,100.12,0.00,100.12,107.23,,,
WALNUT CANYON NM,AZ,IM,"3,251.42",0.00,0.00,"3,251.42",0.00,277.84,277.84,"3,529.26",,,
WAR IN THE PACIFIC NHP,GUAM,PW,957.52,0.00,0.73,958.25,871.96,200.44,"1,072.40","2,030.65",,,
WASHINGTON MONUMENT,DC,NC,101.01,0.00,5.00,106.01,0.00,0.00,0.00,106.01,,,
WASHITA BATTLEFIELD NHS,OK,IM,312.20,0.00,0.00,312.20,3.00,0.00,3.00,315.20,,,
WEIR FARM NHS,CT,NE,68.05,0.00,0.00,68.05,0.00,6.15,6.15,74.20,,,
WHISKEYTOWN-S-T NRA,CA 3/,PW,"42,463.16",0.00,0.00,"42,463.16",28.93,11.16,40.09,"42,503.25",,,
WHITE HOUSE,DC,NC,18.07,0.00,0.00,18.07,0.00,0.00,0.00,18.07,,,
WHITE SANDS NM,NM,IM,"141,209.24",0.00,"2,524.01","143,733.25",0.00,0.00,0.00,"143,733.25",,,
WHITMAN MISSION NHS,WA,PW,138.53,0.00,0.00,138.53,0.00,0.00,0.00,138.53,,,
WILLIAM H TAFT NHS,OH,MW,1.92,0.00,0.00,1.92,1.07,0.65,1.72,3.64,,,
WILSONS CREEK NB,MO,MW,"1,975.20",0.00,0.00,"1,975.20",7.08,385.82,392.90,"2,368.10",,,
WIND CAVE NP,SD,MW,"33,970.84",0.00,0.00,"33,970.84",0.00,0.00,0.00,"33,970.84",,,
WOLF TRAP NP FOR PERF ARTS,VA,NC,117.89,12.39,0.00,130.28,0.00,0.00,0.00,130.28,,,
WOMEN'S RIGHTS NHP,NY,NE,7.03,0.09,0.00,7.12,0.10,0.22,0.32,7.44,,,
WORLD WAR I NMEM,DC,NC,1.39,0.00,0.00,1.39,0.00,0.00,0.00,1.39,,,
WRANGELL-ST ELIAS N PRES,AK,A,"4,323,496.19",400.00,0.00,"4,323,896.19","39,779.85","488,968.48","528,748.33","4,852,644.52",,,
WRANGELL-ST ELIAS NP,AK,A,"7,956,689.00",0.00,0.00,"7,956,689.00","17,585.84","348,871.64","366,457.48","8,323,146.48",,,
WRIGHT BROTHERS NMEM,NC,SE,421.81,0.00,0.00,421.81,6.63,0.00,6.63,428.44,,,
WUPATKI NM,AZ,IM,"35,401.73",20.40,0.00,"35,422.13",0.00,0.00,0.00,"35,422.13",,,
WWII VALOR IN THE PACIFIC NM,HI-CA,PW,15.00,0.00,41.66,56.66,2.37,0.00,2.37,59.03,,,
YELLOWSTONE NP,ID-MT-WY,IM,"2,219,789.13",0.00,0.00,"2,219,789.13",0.00,1.58,1.58,"2,219,790.71",,,
YOSEMITE NP,CA,PW,"759,690.11",10.83,319.11,"760,020.05","1,502.70",224.75,"1,727.45","761,747.50",,,
YUCCA HOUSE NM,CO,IM,33.87,0.00,0.00,33.87,0.00,0.00,0.00,33.87,,,
YUKON-CHARLEY RIVERS N PR,AK,A,"2,195,546.98",0.00,0.00,"2,195,546.98","46,167.00","284,798.46","330,965.46","2,526,512.44",,,
ZION NP,UT,IM,"143,747.65",0.00,0.00,"143,747.65",5.13,"3,484.24","3,489.37","147,237.02",,,
Total,,,"79,954,250.42","333,873.03","437,980.61","80,726,104.06","1,404,921.80","2,604,928.27","4,009,850.07","84,735,954.13",,,
ENDNOTES:,,,,,,,,,,,,,
1/ CURECANTI NRA AND LAKE ROOSEVELT NRA ARE ADMINISTERED UNDER COOPERATIVE AGREEMENT WITH OTHER FEDERAL AGENCIES.,,,,,,,,,,,,,
"2/ ASSATEAGUE ISLAND NS FEDERAL LAND INCLUDES 9,448.00 ACRES ADMINISTERED BY U.S. FISH AND WILDLIFE SERVICE.",,,,,,,,,,,,,
3/ WHISKEYTOWN-SHASTA-TRINITY NRA - SHASTA AND TRINITY PORTION ADMINISTERED BY THE FOREST SERVICE. ONLY NATIONAL PARK SERVICE ACREAGE SHOWN.,,,,,,,,,,,,,
4/ APPALACHIAN NS TRAIL - MANAGEMENT OF TRAIL HANDLED BY THE WASHINGTON OFFICE.,,,,,,,,,,,,,
5/ FOR TOTAL ACREAGE OF BIG CYPRESS NATIONAL PRESERVE - ADD THE ACREAGE FOR BIG CYPRESS NATIONAL PRESERVE AND BIG CYPRESS ADDITION.,,,,,,,,,,,,,
6/ FOR TOTAL ACREAGE OF EVERGLADES NATIONAL PARK - ADD THE ACREAGE FOR EVERGLADES NATIONAL PARK AND EVERGLADES EXPANSION.,,,,,,,,,,,,,
REPORT PREPARED BY: NATIONAL PARK SERVICE LAND RESOURCES NATIONAL PROGRAM CENTER (202-354-6961),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
