Area Name,State,Region,NPS Fee Acres,NPS Less Than Fee Acres,Other Federal Fee Acres,Subtotal Federal Acres,Other Public Acres,Private Acres,Subtotal Non-Federal Acres,Gross Area Acres,,,
KATAHDIN WOODS AND WATERS NM,ME,NER,"87,564.27",0.00,0.00,"87,564.27",0.00,0.00,0.00,"87,564.27",,,
KATMAI N PRESERVE,AK,AKR,"333,400.98",0.00,0.00,"333,400.98","76,881.00","8,416.82","85,297.82","418,698.80",,,
KATMAI NP,AK,AKR,"3,611,536.50",20.43,7.50,"3,611,564.43","50,172.00","12,792.90","62,964.90","3,674,529.33",,,
KENAI FJORDS NP,AK,AKR,"603,129.86",0.00,0.00,"603,129.86","19,302.00","47,218.19","66,520.19","669,650.05",,,
KENNESAW MT NBP,GA,SER,"2,887.92",0.00,0.00,"2,887.92",17.87,0.00,17.87,"2,905.79",,,
KEWEENAW NHP,MI,MWR,135.78,0.00,0.00,135.78,0.00,"1,734.22","1,734.22","1,870.00",,,
KINGS CANYON NP,CA,PWR,"461,846.05",0.00,0.00,"461,846.05",0.00,55.15,55.15,"461,901.20",,,
KINGS MT NMP,SC,SER,"3,945.29",0.00,0.00,"3,945.29",0.00,0.00,0.00,"3,945.29",,,
KLONDIKE GOLD RUSH NHP,AK-WA,AKR,"3,420.00",0.00,0.00,"3,420.00","9,199.38",377.11,"9,576.49","12,996.49",,,
KNIFE RIVER INDIAN VIL NH,ND,MWR,"1,457.24",136.41,0.00,"1,593.65",0.00,155.15,155.15,"1,748.80",,,
KOBUK VALLEY NP,AK,AKR,"1,714,413.42",5.00,0.00,"1,714,418.42",966.00,"35,331.74","36,297.74","1,750,716.16",,,
KOREAN WAR VETERANS MEM,DC,NCR,1.56,0.00,0.00,1.56,0.00,0.00,0.00,1.56,,,
LAKE CHELAN NRA,WA,PWR,"59,337.22",11.83,0.00,"59,349.05","2,210.44",386.78,"2,597.22","61,946.27",,,
LAKE CLARK N PRESERVE,AK,AKR,"1,250,057.33","9,251.98",0.00,"1,259,309.31","58,224.63","92,759.74","150,984.37","1,410,293.68",,,
LAKE CLARK NP,AK,AKR,"2,481,439.42",0.00,0.00,"2,481,439.42","37,426.00","100,951.07","138,377.07","2,619,816.49",,,
LAKE MEAD NRA,AZ-NV,PWR,"1,392,731.19",41.31,"78,230.76","1,471,003.26","2,444.75","22,367.52","24,812.27","1,495,815.53",,,
LAKE MEREDITH NRA,TX,IMR,"43,964.51",0.00,"1,013.00","44,977.51",0.00,0.12,0.12,"44,977.63",,,
LAKE ROOSEVELT NRA,WA 1/,PWR,331.31,0.00,"100,059.00","100,390.31",0.00,0.00,0.00,"100,390.31",,,
LASSEN VOLCANIC NP,CA,PWR,"106,504.80",0.00,0.00,"106,504.80",0.00,84.22,84.22,"106,589.02",,,
LAVA BEDS NM,CA,PWR,"46,692.42",0.00,0.00,"46,692.42",0.00,0.00,0.00,"46,692.42",,,
LBJ MEM GROVE ON THE POTOMAC,DC,NCR,17.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00,,,
LEWIS AND CLARK NHP,OR-WA,PWR,"2,745.62",0.00,0.00,"2,745.62",257.10,407.43,664.53,"3,410.15",,,
LINCOLN BOYHOOD NMEM,IN,MWR,185.68,0.00,0.00,185.68,6.38,7.90,14.28,199.96,,,
LINCOLN HOME NHS,IL,MWR,12.03,0.00,0.00,12.03,0.00,0.21,0.21,12.24,,,
LINCOLN MEMORIAL,DC,NCR,7.29,0.00,0.00,7.29,0.00,0.00,0.00,7.29,,,
LITTLE BIGHORN BATTLEFLD,MT,IMR,765.34,0.00,0.00,765.34,0.00,0.00,0.00,765.34,,,
LITTLE RIVER CANYON,AL,SER,"11,157.12",0.00,13.33,"11,170.45","3,287.87",833.31,"4,121.18","15,291.63",,,
LITTLE ROCK CENTRAL HS NH,AR,MWR,2.22,0.00,0.00,2.22,25.14,0.86,26.00,28.22,,,
LONGFELLOW HOUSE-WASH HQ NHS,MA,NER,1.98,0.00,0.00,1.98,0.00,0.00,0.00,1.98,,,
LOWELL NHP,MA,NER,10.62,21.04,0.00,31.66,5.38,104.63,110.01,141.67,,,
LOWER ST CROIX NSR,MN-WI,MWR,"4,916.40","3,488.93",0.00,"8,405.33","4,496.83","12,374.29","16,871.12","25,276.45",,,
LYNDON B JOHNSON NHP,TX,IMR,672.28,2.05,0.00,674.33,2.42,894.96,897.38,"1,571.71",,,
M MCLEOD BETHUNE HOUSE NHS,DC,NCR,0.07,0.00,0.00,0.07,0.00,0.00,0.00,0.07,,,
MAGGIE L WALKER NHS,VA,NER,0.36,0.00,0.00,0.36,0.00,0.93,0.93,1.29,,,
MAMMOTH CAVE NP,KY,SER,"52,003.24",0.00,0.00,"52,003.24",814.75,"1,193.92","2,008.67","54,011.91",,,
MANASSAS NBP,VA,NCR,"4,401.46",22.33,0.00,"4,423.79",0.00,649.65,649.65,"5,073.44",,,
MANHATTAN PROJECT NHP,NM-TN-WA,IMR,0.00,0.00,113.61,113.61,0.00,0.00,0.00,113.61,,,
MANZANAR NHS,CA,PWR,813.81,0.00,0.00,813.81,0.00,0.00,0.00,813.81,,,
MARSH-BILLINGS-ROCKEFELLER N,VT,NER,555.07,0.00,0.00,555.07,0.00,88.00,88.00,643.07,,,
"MARTIN L KING, JR, MEMORIAL",DC,NCR,2.74,0.00,0.00,2.74,0.00,0.00,0.00,2.74,,,
"MARTIN L KING, JR, NHP",GA,SER,13.79,0.00,0.00,13.79,10.22,14.88,25.10,38.89,,,
MARTIN VAN BUREN NHS,NY,NER,44.53,7.64,0.00,52.17,0.24,232.52,232.76,284.93,,,
MESA VERDE NP,CO,IMR,"52,253.29",0.00,0.00,"52,253.29",41.01,190.87,231.88,"52,485.17",,,
MIDDLE DELAWARE NSR,NJ-PA,NER,0.00,0.00,0.00,0.00,"1,973.33",0.00,"1,973.33","1,973.33",,,
MINIDOKA NHS,ID,PWR,299.79,88.51,0.00,388.30,8.00,0.00,8.00,396.30,,,
MINUTE MAN NHP,MA,NER,787.69,7.47,6.78,801.94,125.53,100.29,225.82,"1,027.76",,,
MINUTEMAN MISSILE NHS,SD,MWR,39.22,0.93,0.00,40.15,0.00,3.65,3.65,43.80,,,
MISSISSIPPI N RVR & RA,MN,MWR,91.74,0.00,0.00,91.74,0.00,"53,683.26","53,683.26","53,775.00",,,
MISSOURI N REC RIVER,SD-NE,MWR,307.68,1.10,0.00,308.78,0.00,"48,147.77","48,147.77","48,456.55",,,
MOJAVE NATIONAL PRESERVE,CA,PWR,"1,482,051.82",0.00,0.00,"1,482,051.82","43,555.02","20,077.65","63,632.67","1,545,684.49",,,
MONOCACY NB,MD,NCR,"1,337.18",195.37,0.00,"1,532.55",51.82,42.25,94.07,"1,626.62",,,
MONTEZUMA CASTLE NM,AZ,IMR,998.69,0.00,0.00,998.69,0.00,16.83,16.83,"1,015.52",,,
MOORES CREEK NB,NC,SER,85.35,2.40,0.00,87.75,0.00,0.00,0.00,87.75,,,
MORRISTOWN NHP,NJ,NER,"1,704.74",0.95,0.00,"1,705.69",0.00,5.03,5.03,"1,710.72",,,
MT RAINIER NP,WA,PWR,"236,326.85",0.00,0.00,"236,326.85",20.70,34.09,54.79,"236,381.64",,,
MT RUSHMORE NMEM,SD,MWR,"1,238.45",1.07,0.00,"1,239.52",38.93,0.00,38.93,"1,278.45",,,
MUIR WOODS NM,CA,PWR,522.98,0.00,0.00,522.98,30.57,0.00,30.57,553.55,,,
NATCHEZ NHP,MS,SER,85.98,0.00,0.00,85.98,5.02,17.30,22.32,108.30,,,
NATCHEZ TRACE NS TRAIL,TN-MS-AL,SER,0.00,0.00,0.00,0.00,0.00,"10,995.00","10,995.00","10,995.00",,,
NATCHEZ TRACE PKWY,TN-MS-AL,SER,"46,320.02","5,887.28",0.00,"52,207.30",34.54,60.16,94.70,"52,302.00",,,
NATIONAL CAPITAL PARKS,DC-MD,NCR,"8,459.92",2.55,0.00,"8,462.47",192.67,38.23,230.90,"8,693.37",,,
NATIONAL MALL,DC,NCR,150.44,5.40,0.00,155.84,0.00,0.00,0.00,155.84,,,
NATIONAL WWII MEMORIAL,DC,NCR,8.25,0.00,0.00,8.25,0.00,0.00,0.00,8.25,,,
NATURAL BRIDGES NM,UT,IMR,"7,620.49",16.00,0.00,"7,636.49",0.00,0.00,0.00,"7,636.49",,,
NAVAJO NM,AZ,IMR,360.00,0.00,0.00,360.00,0.00,0.00,0.00,360.00,,,
NEW BEDFORD WHALING,MA,NER,0.34,0.00,0.00,0.34,0.00,33.66,33.66,34.00,,,
NEW ORLEANS JAZZ NHP,LA,SER,0.00,0.00,0.00,0.00,5.13,0.00,5.13,5.13,,,
NEW RIVER GORGE N RVR,WV,NER,"53,689.64",164.21,0.00,"53,853.85","4,607.99","13,723.92","18,331.91","72,185.76",,,
NEZ PERCE NHP,MT-ID-OR-WA,PWR,"1,972.61","1,885.33",5.12,"3,863.06",261.20,440.67,701.87,"4,564.93",,,
NICODEMUS NHS,KS,MWR,0.22,1.42,0.00,1.64,0.00,2.95,2.95,4.59,,,
NINETY SIX NHS,SC,SER,"1,021.94",0.00,0.00,"1,021.94",0.00,0.00,0.00,"1,021.94",,,
NIOBRARA N. SCENIC RIVER,NE,MWR,185.88,0.00,844.52,"1,030.40",398.68,"27,671.94","28,070.62","29,101.02",,,
NOATAK N PRESERVE,AK,AKR,"6,549,220.04",0.00,0.00,"6,549,220.04","1,197.00","36,654.35","37,851.35","6,587,071.39",,,
NORTH CASCADES NP,WA,PWR,"504,654.18",0.00,0.00,"504,654.18",0.00,126.76,126.76,"504,780.94",,,
NP OF AMERICAN SAMOA,SAMOA,PWR,0.00,0.00,0.00,0.00,"8,256.67",0.00,"8,256.67","8,256.67",,,
OBED WILD & SCENIC RVR,TN,SER,"3,061.62","1,081.12",0.00,"4,142.74",350.44,996.67,"1,347.11","5,489.85",,,
OCMULGEE NM,GA,SER,701.54,0.00,0.00,701.54,2.16,0.00,2.16,703.70,,,
OLYMPIC NP,WA,PWR,"913,409.19",64.88,100.00,"913,574.07","8,749.28",326.06,"9,075.34","922,649.41",,,
OREGON CAVES NM & PRES,OR,PWR,"4,554.03",0.00,0.00,"4,554.03",0.00,0.00,0.00,"4,554.03",,,
ORGAN PIPE CACTUS NM,AZ,IMR,"329,114.50",24.42,226.37,"329,365.29","1,280.00",43.57,"1,323.57","330,688.86",,,
OZARK NS RIVERWAYS,MO,MWR,"52,206.33","9,162.09",0.00,"61,368.42","14,062.59","5,353.29","19,415.88","80,784.30",,,
PADRE ISLAND NS,TX,IMR,"130,355.46",0.00,0.00,"130,355.46",78.81,0.00,78.81,"130,434.27",,,
PALO ALTO BTLFLD NHP,TX,IMR,"1,809.89",0.00,0.00,"1,809.89",0.00,"1,631.85","1,631.85","3,441.74",,,
PATERSON GREAT FALLS NHP,NJ,NER,0.39,0.00,0.00,0.39,50.47,0.46,50.93,51.32,,,
PEA RIDGE NMP,AR,MWR,"4,278.75",0.00,0.00,"4,278.75",21.60,0.00,21.60,"4,300.35",,,
PECOS NHP,NM,IMR,"6,408.18",0.00,0.00,"6,408.18",51.51,233.80,285.31,"6,693.49",,,
PENNSYLVANIA AVE NHS,DC,NCR,15.59,0.00,0.84,16.43,1.18,0.00,1.18,17.61,,,
PERRY'S VIC & INT PEACE M,OH,MWR,23.12,0.02,0.00,23.14,2.24,0.00,2.24,25.38,,,
PETERSBURG NB,VA,NER,"2,659.79",0.12,0.00,"2,659.91",0.00,"6,708.43","6,708.43","9,368.34",,,
PETRIFIED FOREST NP,AZ,IMR,"147,024.45",0.00,0.00,"147,024.45","35,900.69","38,465.07","74,365.76","221,390.21",,,
PETROGLYPH NM,NM,IMR,"2,940.88",0.00,0.00,"2,940.88","4,156.70",111.72,"4,268.42","7,209.30",,,
PICTURED ROCKS NL,MI,MWR,"35,705.86",21.30,44.16,"35,771.32","13,939.75","23,524.76","37,464.51","73,235.83",,,
PINNACLES NP,CA,PWR,"26,674.60",0.31,0.00,"26,674.91",0.00,10.82,10.82,"26,685.73",,,
PIPE SPRING NM,AZ,IMR,40.00,0.00,0.00,40.00,0.00,0.00,0.00,40.00,,,
PIPESTONE NM,MN,MWR,281.78,0.00,0.00,281.78,0.00,0.00,0.00,281.78,,,
PISCATAWAY PARK,MD,NCR,"1,909.79","2,670.72",0.00,"4,580.51",0.00,35.80,35.80,"4,616.31",,,
POINT REYES NS,CA,PWR,"64,856.50",42.98,334.87,"65,234.35","2,696.98","3,122.05","5,819.03","71,053.38",,,
PORT CHICAGO NAVAL MAG N MEM,CA,PWR,0.00,0.00,5.00,5.00,0.00,0.00,0.00,5.00,,,
POTOMAC HERITAGE NST,PA TO VA,NCR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,
POVERTY POINT NM,LA,SER,0.00,0.00,0.00,0.00,415.14,495.71,910.85,910.85,,,
PRESIDENT WJ CLINTON BP NHS,AR,MWR,0.68,0.00,0.00,0.68,0.00,0.00,0.00,0.68,,,
PRINCE WM FOREST PARK,VA,NCR,"14,562.03",41.89,0.00,"14,603.92",0.00,"1,476.90","1,476.90","16,080.82",,,
PULLMAN NM,IL,MWR,0.24,0.16,0.00,0.40,0.00,0.00,0.00,0.40,,,
PU'UHONUA O HONAUNAU,HI,PWR,418.78,1.02,0.00,419.80,0.00,0.00,0.00,419.80,,,
PUUKOHOLA HEIAU NHS,HI,PWR,60.95,0.00,0.00,60.95,25.29,0.00,25.29,86.24,,,
RAINBOW BRIDGE NM,UT,IMR,160.00,0.00,0.00,160.00,0.00,0.00,0.00,160.00,,,
RECONSTRUCTION ERA NM,SC,SER,3.20,1.47,10.86,15.53,0.00,0.00,0.00,15.53,,,
REDWOOD NP,CA,PWR,"77,715.18",29.36,1.92,"77,746.46","61,101.92",150.99,"61,252.91","138,999.37",,,
RICHMOND NBP,VA,NER,"3,648.10",22.43,1.42,"3,671.95",3.70,"4,495.20","4,498.90","8,170.85",,,
RIO GRANDE WILD & SR,TX,IMR,0.00,0.00,0.00,0.00,"4,269.31","8,854.08","13,123.39","13,123.39",,,
RIVER RAISIN NBP,MI,MWR,42.18,0.00,0.00,42.18,0.00,0.00,0.00,42.18,,,
ROCK CREEK PARK,DC,NCR,"1,755.21",0.00,0.00,"1,755.21",0.00,0.00,0.00,"1,755.21",,,
ROCKY MT NP,CO,IMR,"264,263.50","1,220.70",0.00,"265,484.20",130.29,192.76,323.05,"265,807.25",,,
ROGER WILLIAMS NMEM,RI,NER,4.56,0.00,0.00,4.56,0.00,0.00,0.00,4.56,,,
ROSIE THE RIVETER  NHP,CA,PWR,0.00,0.00,0.00,0.00,145.19,0.00,145.19,145.19,,,
ROSS LAKE NRA,WA,PWR,"115,959.59",0.00,0.00,"115,959.59","1,609.37",5.63,"1,615.00","117,574.59",,,
RUSSELL CAVE NM,AL,SER,310.45,0.00,0.00,310.45,0.00,0.00,0.00,310.45,,,
SAGAMORE HILL NHS,NY,NER,83.02,0.00,0.00,83.02,0.00,0.00,0.00,83.02,,,
SAGUARO NP,AZ,IMR,"87,908.70",13.64,0.00,"87,922.34","3,009.67",783.71,"3,793.38","91,715.72",,,
SAINT CROIX NSR,MN-WI,MWR,"20,355.16","11,057.45",804.44,"32,217.05","30,716.34","4,533.24","35,249.58","67,466.63",,,
SAINT-GAUDENS NHS,NH,NER,190.75,0.00,0.00,190.75,0.00,0.00,0.00,190.75,,,
SALEM MARITIME NHS,MA,NER,8.93,0.00,0.00,8.93,0.00,0.09,0.09,9.02,,,
SALINAS PUEBLO MSNS NM,NM,IMR,979.87,5.26,0.00,985.13,5.68,80.61,86.29,"1,071.42",,,
SALT RVR BAY NHP,VI,SER,224.67,0.00,0.00,224.67,659.49,105.26,764.75,989.42,,,
SAN ANTONIO MISSIONS NHP,TX,IMR,476.15,70.47,0.00,546.62,262.49,138.66,401.15,947.77,,,
SAN FRAN MARITIME NHP,CA,PWR,30.03,0.00,0.00,30.03,19.83,0.00,19.83,49.86,,,
SAN JUAN ISLAND NHP,WA,PWR,"2,114.52",0.00,0.00,"2,114.52",26.54,4.50,31.04,"2,145.56",,,
SAN JUAN NHS,PR,SER,53.20,0.00,0.00,53.20,21.93,0.00,21.93,75.13,,,
SAND CREEK MASSACRE NHS,CO,IMR,"3,025.43",0.00,0.00,"3,025.43",0.00,"9,557.91","9,557.91","12,583.34",,,
SANTA MONICA MTS NRA,CA,PWR,"23,571.56",73.38,"1,469.22","25,114.16","49,182.75","82,321.53","131,504.28","156,618.44",,,
SARATOGA NHP,NY,NER,"3,080.60",2.04,0.00,"3,082.64",59.18,437.32,496.50,"3,579.14",,,
SAUGUS IRON WORKS NHS,MA,NER,8.51,0.00,0.00,8.51,0.00,0.00,0.00,8.51,,,
SCOTTS BLUFF NM,NE,MWR,"2,953.94",0.27,0.00,"2,954.21",5.95,44.57,50.52,"3,004.73",,,
SEQUOIA NP,CA,PWR,"403,893.31",15.36,0.00,"403,908.67",0.00,153.96,153.96,"404,062.63",,,
SHENANDOAH NP,VA,NER,"197,536.49",818.31,0.00,"198,354.80",72.11,796.86,868.97,"199,223.77",,,
SHILOH NMP,TN-MS,SER,"5,482.61",1.19,0.00,"5,483.80",988.15,"1,768.15","2,756.30","8,240.10",,,
SITKA NHP,AK,AKR,58.22,0.00,0.00,58.22,54.63,3.44,58.07,116.29,,,
SLEEPING BEAR DUNES NL,MI,MWR,"57,135.80",649.69,1.85,"57,787.34","12,067.29","1,397.16","13,464.45","71,251.79",,,
SPRINGFIELD ARMORY NHS,MA,NER,20.32,0.28,0.00,20.60,34.33,0.00,34.33,54.93,,,
ST CROIX ISLAND IHS,ME,NER,6.50,0.00,0.00,6.50,0.00,0.00,0.00,6.50,,,
ST PAUL'S CHURCH NHS,NY,NER,6.13,0.00,0.00,6.13,0.00,0.00,0.00,6.13,,,
STATUE OF LIBERTY NM,NY-NJ,NER,58.38,0.00,0.00,58.38,0.00,0.00,0.00,58.38,,,
STEAMTOWN NHS,PA,NER,51.29,0.00,0.00,51.29,10.55,0.64,11.19,62.48,,,
STONES RIVER NB,TN,SER,649.49,0.00,0.00,649.49,17.14,42.86,60.00,709.49,,,
STONEWALL NM,NY,NER,0.12,0.00,0.00,0.12,7.53,0.05,7.58,7.70,,,
SUNSET CRATER VOLC NM,AZ,IMR,"3,040.00",0.00,0.00,"3,040.00",0.00,0.00,0.00,"3,040.00",,,
T KOSCIUSZKO NMEM,PA,NER,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.02,,,
T ROOSEVELT BIRTHPLACE NHS,NY,NER,0.11,0.00,0.00,0.11,0.00,0.00,0.00,0.11,,,
T ROOSEVELT INAUG NHS,NY,NER,1.18,0.00,0.00,1.18,0.00,0.00,0.00,1.18,,,
T ROOSEVELT ISLAND,DC,NCR,88.50,0.00,0.00,88.50,0.00,0.00,0.00,88.50,,,
T ROOSEVELT NP,ND,MWR,"69,550.88",0.00,151.24,"69,702.12",54.33,690.44,744.77,"70,446.89",,,
TALLGRASS PRAIRIE NPRE,KS,MWR,33.12,0.00,0.00,33.12,17.30,"10,832.25","10,849.55","10,882.67",,,
THOMAS EDISON NHP,NJ,NER,21.25,0.00,0.00,21.25,0.00,0.00,0.00,21.25,,,
THOMAS JEFFERSON MEM,DC,NCR,18.36,0.00,0.00,18.36,0.00,0.00,0.00,18.36,,,
THOMAS STONE NHS,MD,NER,328.25,0.00,0.00,328.25,0.00,0.00,0.00,328.25,,,
TIMPANOGOS CAVE NM,UT,IMR,250.00,0.00,0.00,250.00,0.00,0.00,0.00,250.00,,,
TIMUCUAN ECO & H PRES,FL,SER,"7,540.63","1,330.00",0.00,"8,870.63","17,844.86","19,547.18","37,392.04","46,262.67",,,
TONTO NM,AZ,IMR,"1,120.00",0.00,0.00,"1,120.00",0.00,0.00,0.00,"1,120.00",,,
TULE SPRINGS FOSSIL BEDS NM,NV,PWR,"22,650.00",0.00,0.00,"22,650.00",0.00,0.00,0.00,"22,650.00",,,
TUMACACORI NHP,AZ,IMR,357.74,0.00,0.00,357.74,0.64,1.94,2.58,360.32,,,
TUPELO NB,MS,SER,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,
TUSKEGEE AIRMEN NHS,AL,SER,44.71,0.00,0.00,44.71,0.40,44.57,44.97,89.68,,,
TUSKEGEE INSTITUTE NHS,AL,SER,7.90,1.02,0.00,8.92,0.00,49.00,49.00,57.92,,,
TUZIGOOT NM,AZ,IMR,366.42,15.11,0.00,381.53,0.00,430.36,430.36,811.89,,,
ULYSSES S GRANT NHS,MO,MWR,9.60,0.00,0.00,9.60,0.00,0.00,0.00,9.60,,,
UPPER DEL SCENIC & R RVR,NY-PA,NER,30.47,0.28,0.00,30.75,"1,327.96","73,640.85","74,968.81","74,999.56",,,
VALLES CALDERA N PRES,NM,IMR,"89,766.09",0.00,0.00,"89,766.09",0.00,0.00,0.00,"89,766.09",,,
VALLEY FORGE NHP,PA,NER,"3,146.57",29.13,0.00,"3,175.70",218.03,74.81,292.84,"3,468.54",,,
VANDERBILT MANSION NHS,NY,NER,211.65,0.00,0.00,211.65,0.00,0.00,0.00,211.65,,,
VICKSBURG NMP,MS-LA,SER,"1,760.05",-0.95,0.00,"1,759.10",4.84,50.61,55.45,"1,814.55",,,
VIETNAM VETERANS MEM,DC,NCR,2.18,0.00,0.00,2.18,0.00,0.00,0.00,2.18,,,
VIRGIN ISLANDS CORAL REEF,VI,SER,"11,608.48",0.00,0.00,"11,608.48","1,099.59",0.00,"1,099.59","12,708.07",,,
VIRGIN ISLANDS NP,VI,SER,"13,102.24",3.00,0.00,"13,105.24",133.48,"1,705.81","1,839.29","14,944.53",,,
VOYAGEURS NP,MN,MWR,"133,108.69",0.00,139.03,"133,247.72","83,903.18","1,049.25","84,952.43","218,200.15",,,
WACO MAMMOTH NM,TX,IMR,4.93,2.18,0.00,7.11,100.12,0.00,100.12,107.23,,,
WALNUT CANYON NM,AZ,IMR,"2,922.77",0.00,0.00,"2,922.77",0.00,277.84,277.84,"3,200.61",,,
WAR IN THE PACIFIC NHP,GUAM,PWR,957.52,0.00,0.73,958.25,871.96,200.44,"1,072.40","2,030.65",,,
WASHINGTON MONUMENT,DC,NCR,101.01,0.00,5.00,106.01,0.00,0.00,0.00,106.01,,,
WASHITA BATTLEFIELD NHS,OK,IMR,315.20,0.00,0.00,315.20,0.00,0.00,0.00,315.20,,,
WEIR FARM NHS,CT,NER,68.05,0.00,0.00,68.05,0.00,6.15,6.15,74.20,,,
WHISKEYTOWN-S-T NRA,CA 3/,PWR,"42,492.09",0.00,0.00,"42,492.09",0.00,11.16,11.16,"42,503.25",,,
WHITE HOUSE,DC,NCR,18.07,0.00,0.00,18.07,0.00,0.00,0.00,18.07,,,
WHITE SANDS NM,NM,IMR,"142,653.49",0.00,"1,050.06","143,703.55",0.00,0.00,0.00,"143,703.55",,,
WHITMAN MISSION NHS,WA,PWR,138.53,0.00,0.00,138.53,0.00,0.00,0.00,138.53,,,
WILLIAM H TAFT NHS,OH,MWR,1.92,0.00,0.00,1.92,1.07,0.65,1.72,3.64,,,
WILSONS CREEK NB,MO,MWR,"2,015.20",0.00,0.00,"2,015.20",7.08,385.51,392.59,"2,407.79",,,
WIND CAVE NP,SD,MWR,"33,970.84",0.00,0.00,"33,970.84",0.00,0.00,0.00,"33,970.84",,,
WOLF TRAP NP FOR PERF ARTS,VA,NCR,117.89,12.39,0.00,130.28,0.00,0.00,0.00,130.28,,,
WOMEN'S RIGHTS NHP,NY,NER,7.03,0.09,0.00,7.12,0.10,0.22,0.32,7.44,,,
WORLD WAR I NMEM,DC,NCR,1.39,0.00,0.00,1.39,0.00,0.00,0.00,1.39,,,
WRANGELL-ST ELIAS N PRES,AK,AKR,"4,323,495.94",400.00,0.00,"4,323,895.94","39,779.85","488,968.73","528,748.58","4,852,644.52",,,
WRANGELL-ST ELIAS NP,AK,AKR,"7,956,689.25",0.00,0.00,"7,956,689.25","17,585.84","348,871.39","366,457.23","8,323,146.48",,,
WRIGHT BROTHERS NMEM,NC,SER,421.81,0.00,0.00,421.81,6.63,0.00,6.63,428.44,,,
WUPATKI NM,AZ,IMR,"35,401.83",0.00,0.00,"35,401.83",0.00,0.00,0.00,"35,401.83",,,
WWII VALOR IN THE PACIFIC NM,HI-CA,PWR,15.00,0.00,41.66,56.66,2.37,0.00,2.37,59.03,,,
YELLOWSTONE NP,ID-MT-WY,IMR,"2,219,789.13",0.00,0.00,"2,219,789.13",0.00,1.58,1.58,"2,219,790.71",,,
YOSEMITE NP,CA,PWR,"759,690.11",10.83,319.11,"760,020.05","1,502.70",224.75,"1,727.45","761,747.50",,,
YUCCA HOUSE NM,CO,IMR,33.87,0.00,0.00,33.87,0.00,0.00,0.00,33.87,,,
YUKON-CHARLEY RIVERS N PR,AK,AKR,"2,195,546.98",0.00,0.00,"2,195,546.98","46,167.00","284,798.46","330,965.46","2,526,512.44",,,
ZION NP,UT,IMR,"143,788.46",0.00,0.00,"143,788.46",5.13,"3,449.07","3,454.20","147,242.66",,,
Total,,,"79,978,471.72","351,513.74","710,912.70","81,040,898.16","1,392,436.15","2,617,861.03","4,010,297.18","85,051,195.34",,,
ENDNOTES:,,,,,,,,,,,,,
1/ CURECANTI NRA AND LAKE ROOSEVELT NRA ARE ADMINISTERED UNDER COOPERATIVE AGREEMENT WITH OTHER FEDERAL AGENCIES.,,,,,,,,,,,,,
"2/ ASSATEAGUE ISLAND NS FEDERAL LAND INCLUDES 9,448.00 ACRES ADMINISTERED BY U.S. FISH AND WILDLIFE SERVICE.",,,,,,,,,,,,,
3/ WHISKEYTOWN-SHASTA-TRINITY NRA - SHASTA AND TRINITY PORTION ADMINISTERED BY THE FOREST SERVICE. ONLY NATIONAL PARK SERVICE ACREAGE SHOWN.,,,,,,,,,,,,,
4/ APPALACHIAN NS TRAIL - MANAGEMENT OF TRAIL HANDLED BY THE WASHINGTON OFFICE.,,,,,,,,,,,,,
5/ FOR TOTAL ACREAGE OF BIG CYPRESS NATIONAL PRESERVE - ADD THE ACREAGE FOR BIG CYPRESS NATIONAL PRESERVE AND BIG CYPRESS ADDITION.,,,,,,,,,,,,,
6/ FOR TOTAL ACREAGE OF EVERGLADES NATIONAL PARK - ADD THE ACREAGE FOR EVERGLADES NATIONAL PARK AND EVERGLADES EXPANSION.,,,,,,,,,,,,,
REPORT PREPARED BY: NATIONAL PARK SERVICE LAND RESOURCES NATIONAL PROGRAM CENTER (202-354-6961),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
